Dia ternganga. 	 دي ترڠاڠا.
Tidak menyangka akan ditinggalkan begitu sahaja. 	 تيدق مڽڠک اكن دتيڠڬلكن بڬيتو سهاج.
Perlahan-lahan dia menebarkan pandangan ke sekeliling. 	 ڤرلاهن-لاهن دي منبركن ڤندڠن كسكليليڠ.
Api rakus yang membakar hampir kesemua rumah di Perkampungan Gapura mulai jinak, perlahan-lahan terpadam. 	 اڤي راكوس يڠ ممباكر همڤير كسموا رومه دڤركامڤوڠن ڬاڤورا مولاءي جينق، ڤرلاهن-لاهن ترڤادم.
Sebahagian sahaja masih tegar meliang-liuk, menjilat penuh serakah papan dan kayu rumah. 	 سبهاڬين سهاج ماسيه تڬر مليڠ-ليوق، منجيلت ڤنوه سراكه ڤاڤن دان كايو رومه.
Rata-rata rumah di perkampungan rentung dan roboh semuanya. 	 رات٢ رومه دڤركامڤوڠن رنتوڠ دان روبوه سمواڽ.
Haiwan ternakan banyak yang mati dan selebihnya bertempiaran lari. 	 حيوان ترنقن باڽق يڠ ماتي دان سلبيهڽ برتمڤيارن لاري.
Demikian juga kuda-kuda milik penduduk kampung. 	 دمكين جوݢ كودا٢ ميليق ڤندودوق كامڤوڠ.
Tinggal dia dan jasad-jasad tanpa nyawa yang bergelimpangan. 	 تيڠڬل دي دان جسد٢ تنڤا ڽاوا يڠ برڬليمڤڠن.
Pandangannya terhenti pada jasad ayahanda dan bonda. 	 ڤندڠنڽ ترهنتي ڤد جسد ايهندا دان بوندا.
Air matanya berjuraian kembali. 	 اءير ماتڽ برجوراين كمبالي.
Dia cuba menahan sedu, membuatkan tubuhnya bergegar dahsyat. 	 دي چوبا مناهن سدو، ممبواتكن توبوهڽ برڬڬر دهشت.
Jiwanya bagai ditikam-tikam. 	 جيواڽ باڬاي دتيكام-تيكم.
Lututnya kemudian menjadi lemah, dan kakinya melonglai. 	 لوتوتڽ كمودين منجادي لمه، دان كاكيڽ ملوڠلاي.
Terus dia terjelepok dan melutut ke tanah. 	 تروس دي ترجليڤوق دان ملوتوت کتانه.
Dahi bertemu lantai bumi. 	 داهي برتمو لنتاي بومي.
Dia menangis semahu-mahunya. 	 دي مناڠيس سماهو-ماهوڽ.
Lama dia berkeadaan sedemikian. 	 لاما دي بركأداءن سدميكين.
Dia menangis sehingga air mata tidak lagi bersisa. 	 دي مناڠيس سهيڠݢ اءير مات تيدق لاڬي برسيسا.
Sehingga tiada lagi api yang menjilati rumah. 	 سهيڠݢ تياد لاڬي اڤي يڠ منجيلتي رومه.
Sehingga zulmat membaluti langit malam, dan kegelapan menyelimuti buana. 	 سهيڠݢ ظلمة ممبالوتي لاڠيت مالم، دان كڬلاڤن مڽليموتي بوانا.
Bertemankan sisa bara-bara api, dia tidak bergerak-gerak. 	 برتمنكن سيسا بارا٢ اڤي، دي تيدق برڬرق-ڬرق.
Hanya membatu dalam keadaan bersujud. 	 هاڽ ممباتو دالم كأداءن برسجود.
Solat langsung tidak dikerjakan. 	 صلاة لڠسوڠ تيدق دكرجاكن.
Malah, tidak juga mempedulikan makan atau minum. 	 ماله، تيدق جوݢ ممڤدوليكن ماكن اتاو مينوم.
Begitulah keadaannya sehingga subuh. 	 بڬيتوله كأداءنڽ سهيڠݢ صبح.
Tubuh kuyup dibasahi embun. 	 توبوه كويوڤ دباسهي امبون.
Dia kemudian perlahan-lahan bangun. 	 دي كمودين ڤرلاهن-لاهن باڠون.
Wajahnya beriak kosong. 	 واجهڽ برياق كوسوڠ.
Perut yang berkeroncong diabaikan. 	 ڤروت يڠ بركرونچوڠ دابايكن.
Dia sekali lagi memandang sekeliling. 	 دي سكالي لاڬي ممندڠ سكليليڠ.
Bagaikan dikawal, langkahan kaki diatur menuju ke sungai. 	 باڬايكن دكاول، لڠكهن كاكي دأتور منوجو كسوڠاي.
Di sana, dia membersihkan diri. 	 دسان، دي ممبرسيهكن ديري.
Kemudian, mengambil wudhu’. 	 كمودين، مڠمبيل وضوء.
Di sisi sungai, dia mengerjakan Solat Fajar, sebelum mengerjakan Solat Maghrib dan Isya’ yang ditinggalkannya semalam. 	 دسيسي سوڠاي، دي مڠرجاكن صلاة فجر، سبلوم مڠرجاكن صلاة مغرب دان عشاء يڠ دتيڠڬلكنڽ سمالم.
Walau baru berumur sepuluh tahun, dia sudah tahu, solat yang ditinggalkan perlu diganti. 	 والاو بارو برعمور سڤولوه تاهون، دي سوده تاهو، صلاة يڠ دتيڠڬلكن ڤرلو دڬنتي.
Seterusnya, dia meminum air sungai sepuas-puasnya. 	 ستروسڽ، دي ممينوم اءير سوڠاي سڤواس-ڤواسڽ.
