 ا 	 A
 ا 	 A
 ا 	 A
 چ 	 Ce
 يا 	 Ya
 يا 	 Ya
 يا 	 Ya
 نن 	 Nan
 يا 	 Ya
 نن 	 Nan
 سا 	 Sa
 لا 	 la
 اه 	 Ah
 يا 	 Ya
 يا 	 Ya
 يا 	 Ya
 يا 	 Ya
 يا 	 Ya
 مک 	 Maka
 جا 	 Jan
 ڠن 	 gan
 كن 	 kan
 بر 	 ber
 سنه 	 Sunnah
 بنر 	 Benar
 واه 	 Wah
 مڬه 	 Megah
 بنر 	 Benar
 بنر 	 Benar
 هاه 	 Hah
 بنر 	 Benar
 تنڠ 	 Tenang
 چلا 	 Cela
 هاڽ 	 Hanya
 بنر 	 Benar
 بنر 	 Benar
 بنر 	 Benar
 بنر 	 Benar
 بنر 	 Benar
 بنر 	 Benar
 بنر 	 Benar
 اكو 	 Aku
 بنر 	 Benar
 بنر 	 Benar
 اوغ 	 Ugh
 هاه 	 Hah
 چلا 	 Cela
 اكو 	 Aku
 دڠن 	 dengan
 الل 	 All
 ساه 	 Sah
 ساه 	 Sah
 ماري 	 Mari
 ايوه 	 Ayuh
 ڤستي 	 Pasti
 كناڤ 	 Kenapa
 مريک 	 Mereka
 سام٢ 	 Sama-sama
 خشوع 	 Khusyuk
 يعني 	 Yakni
 نيكد 	 Nekad
 چلاک 	 Celaka
 چلاک 	 Celaka
 چلاک 	 Celaka
 أمين 	 Amin
 جادي 	 Jadi
 ايوه 	 Ayuh
 ملاک 	 Melaka
 جادي 	 Jadi
 امين 	 Amin
 انيه 	 Aneh
 كورڠ 	 Kurang
 سوده 	 Sudah
 الله 	 Allah
 سوده 	 Sudah
 سوده 	 Sudah
 يقين 	 Yakin
 تيدق 	 Tidak
 چلاک 	 Celaka
 ايوه 	 Ayuh
 چلاک 	 Celaka
 جاڬت 	 Jagat
 سوده 	 Sudah
 چلاک 	 Celaka
 كچوه 	 Kecoh
 ايوه 	 Ayuh
 مالو 	 Malu
 چلاک 	 Celaka
 لامت 	 lamat
 سبنتر 	 Sebentar
 سياڤا 	 Siapa
 اڠكاو 	 Engkau
 تتاڤي 	 Tetapi
 بنرله 	 Benarlah
 تروجا 	 Teruja
 اڤاكه 	 Apakah
 بتوله 	 Betullah
 اڠكاو 	 Engkau
 اڠكاو 	 engkau
 اڠكاو 	 Engkau
 جليتا 	 Jelita
 سمواڽ 	 Semuanya
 سيحير 	 Sihir
 سيحير 	 Sihir
 حيران 	 Hairan
 باءيق 	 Baik
 برتنڠ 	 Bertenang
 دسيني 	 Di sini
 بڠكيت 	 Bangkit
 ڤاروت 	 Parut
