A. 	 ا.
A. 	 ا.
A. 	 ا.
Ya. 	 يا.
Ya. 	 يا.
Ya. 	 يا.
Ya. 	 يا.
Sa. 	 سا.
Ce. 	 چ.
la. 	 لا.
Ah. 	 اه.
Ya. 	 يا.
Ya. 	 يا.
Ya. 	 يا.
Ya. 	 يا.
Ya. 	 يا.
Wah. 	 واه.
Hah. 	 هاه.
Nan. 	 نن.
Nan. 	 نن.
Aku. 	 اكو.
Ugh. 	 اوغ.
Hah. 	 هاه.
Jan. 	 جا.
gan. 	 ڠن.
kan. 	 كن.
Aku. 	 اكو.
ber. 	 بر.
All. 	 الل.
Sah. 	 ساه.
Sah. 	 ساه.
Mari. 	 ماري.
Ayuh. 	 ايوه.
Baik. 	 باءيق.
Cela. 	 چلا.
Amin. 	 أمين.
Jadi. 	 جادي.
Ayuh. 	 ايوه.
Jadi. 	 جادي.
Amin. 	 امين.
Aneh. 	 انيه.
Ayuh. 	 ايوه.
Maka. 	 مک.
Ayuh. 	 ايوه.
Malu. 	 مالو.
Cela. 	 چلا.
iman. 	 إيمان.
Siapa. 	 سياڤا.
Benar. 	 بنر.
Aahhh. 	 اه هاه.
Megah. 	 مڬه.
Benar. 	 بنر.
Pasti. 	 ڤستي.
Benar. 	 بنر.
Sihir. 	 سيحير.
Sihir. 	 سيحير.
Benar. 	 بنر.
Yakni. 	 يعني.
Parut. 	 ڤاروت.
Nekad. 	 نيكد.
Bagus. 	 باڬوس.
Bagai. 	 باڬاي.
Hanya. 	 هاڽ.
Benar. 	 بنر.
Benar. 	 بنر.
Benar. 	 بنر.
Ampun. 	 امڤون.
Benar. 	 بنر.
Bagus. 	 باڬوس.
Sudah. 	 سوده.
Allah. 	 الله.
Benar. 	 بنر.
Sudah. 	 سوده.
Sudah. 	 سوده.
Yakin. 	 يقين.
Benar. 	 بنر.
Tidak. 	 تيدق.
Benar. 	 بنر.
Jagat. 	 جاڬت.
Sudah. 	 سوده.
Benar. 	 بنر.
Benar. 	 بنر.
Kecoh. 	 كچوه.
Bagus. 	 باڬوس.
Ampun. 	 امڤون.
kotor. 	 كوتور.
lamat. 	 لامت.
Engkau. 	 اڠكاو.
